Name,ID,L,a,b,LRV,R,G,B
Orange Ballad,1019,53.5703,26.3303,37.0725,0.215724,0.709481,0.4279,0.253689
Rapture's Light,1020,95.8359,-0.201619,6.04483,0.896128,0.966647,0.952316,0.907003
Sweet Buttermilk,1021,94.8502,2.71619,10.2223,0.872641,0.987418,0.933268,0.864948
Delicate Dawn,1022,89.1727,10.2765,19.2832,0.745307,0.994913,0.849143,0.736306
Mellow Glow,1023,86.9513,14.9732,24.0049,0.699072,1.00889,0.811327,0.678302
Pumpkin Hue,1024,74.7328,28.2442,35.1953,0.478541,0.963414,0.639344,0.472712
Heat of Summer,1025,68.0066,32.3138,42.2263,0.379809,0.913614,0.554776,0.355309
Casa De Oro,1026,56.063,38.9636,45.93,0.239752,0.810032,0.407983,0.216332
Abstract White,1027,95.601,0.456293,7.65337,0.890493,0.972921,0.947774,0.892307
Verve,1028,94.4533,3.06998,11.8864,0.863302,0.989189,0.927656,0.848026
Pale Blossom,1029,93.2802,5.89988,15.7591,0.836085,1.00452,0.906706,0.806426
Wispy White,1030,83.4531,20.9836,31.5753,0.630204,1.01762,0.755154,0.586471
Chickadee,1031,76.9966,32.2734,40.6025,0.515261,1.01928,0.649816,0.456435
Boredom Buster,1032,71.2506,40.5976,51.7876,0.425531,1.00549,0.558766,0.316775
Lava Lamp,1033,62.128,45.1494,54.7585,0.305525,0.919709,0.445053,0.205975
Autumn Wind,1034,86.9152,12.3426,19.3575,0.698335,0.983265,0.818777,0.712025
Spiced Cider,1035,83.2484,14.5355,21.3434,0.62632,0.959135,0.772533,0.658847
Apricot Spring,1036,78.2984,20.4844,25.6742,0.537204,0.946698,0.701876,0.576805
Trumpet Flower,1037,70.3561,25.7482,30.1171,0.412577,0.892182,0.60164,0.46535
Jack-O-Lantern,1038,60.6627,32.9434,37.6368,0.288654,0.827048,0.477438,0.318998
Pretty Parasol,1039,48.6997,30.567,32.4497,0.173514,0.673249,0.366327,0.243846
Dark Marmalade,1040,41.4745,33.3677,25.9874,0.121633,0.601781,0.286476,0.224071
Flowerbed,1041,94.3335,5.25275,10.7144,0.860495,1.00144,0.920947,0.856033
Peak Season,1042,91.4422,10.3007,15.7872,0.794603,1.01478,0.874719,0.787147
Mom's Love,1043,88.8839,15.3015,19.5375,0.739183,1.02627,0.832291,0.73249
Shooting Star,1044,81.4026,26.6083,25.8196,0.592021,1.02117,0.716943,0.609591
Creamy Orange Blush,1045,74.2333,35.0335,33.6166,0.470681,0.995463,0.612054,0.481636
Ballet Cream,1046,68.1916,45.4168,44.3721,0.382325,0.989344,0.508716,0.346839
Starfish,1047,59.6061,56.0995,53.2191,0.276883,0.943767,0.367691,0.202989
Pale Shrimp,1048,92.1695,6.80323,7.31503,0.81085,0.980803,0.893359,0.858074
Salmon Mousse,1049,87.4456,13.9902,13.267,0.709189,0.98976,0.821066,0.763467
Salmon Beauty,1050,84.213,17.9,15.6493,0.644761,0.983113,0.774521,0.711974
Stucco Wall,1051,77.9185,22.4201,19.6929,0.530738,0.946064,0.693023,0.617077
Summer Memory,1052,65.0845,33.3976,28.0367,0.341538,0.872667,0.52247,0.430556
Sun's Rage,1053,44.9774,36.6153,31.9576,0.145255,0.661081,0.307417,0.216355
Carrot Cake,1054,44.2698,34.3454,26.4977,0.140257,0.638214,0.309925,0.245906
White Meadow,1055,92.418,2.6919,6.01886,0.816451,0.950127,0.906809,0.869757
Elizabeth Rose,1056,90.784,8.3416,9.82086,0.780091,0.981563,0.873546,0.824336
Pink Satin,1057,83.6388,14.8309,15.7976,0.633741,0.956401,0.776789,0.704048
Pale Terra,1058,75.5252,22.0945,20.1787,0.491189,0.917219,0.668408,0.588661
